acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,lr,dropout_prob,nheads,ffn,n_levels,attn_dropout,embed_dropout
71.46,67.79,70.67,66.88,0.6951,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-12-39-09,2.9999999999999997e-05,0.45,8,2048,5,0.1,0.2
49.44,47.3,49.87,46.65,0.471,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-12-34-19,3e-05,0.45,8,2048,5,0.1,0.2
71.01,66.88,68.79,67.86,0.6817,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-43-04,2.5e-05,0.4,8,2048,5,0.1,0.2
71.69,66.37,67.97,67.3,0.687,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-50-41,3e-05,0.4,8,2048,5,0.1,0.2
70.79,66.57,66.12,67.56,0.7014,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-12-48-14,1e-05,0.4,8,2048,5,0.1,0.2
69.89,65.68,65.0,67.51,0.7053,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-12-49-46,1e-05,0.4,8,2048,5,0.1,0.2
70.79,67.34,69.54,66.89,0.6985,MIntRec,mag_bert,bert-base-uncased,8,mag_bert_MIntRec_multi-class_8_2025-08-25-12-59-34,2e-05,0.4,8,2048,5,0.1,0.2
71.24,66.77,66.52,68.52,0.6887,MIntRec,mag_bert,bert-base-uncased,5,mag_bert_MIntRec_multi-class_5_2025-08-25-13-01-17,2e-05,0.4,8,2048,5,0.1,0.2
73.03,68.52,69.49,68.96,0.6845,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-12-57-27,1e-05,0.35,8,2048,5,0.1,0.2
71.24,65.61,66.42,66.99,0.6788,MIntRec,mag_bert,bert-base-uncased,1,mag_bert_MIntRec_multi-class_1_2025-08-25-13-12-28,2e-05,0.35,8,2048,5,0.1,0.2
